genotype,date,name,location
AR,251218,G1 R1,I:\Confocal\By Date\251218 Esg Dl\AR\G1 R1.czi
AR,251218,G1 R2,I:\Confocal\By Date\251218 Esg Dl\AR\G1 R2.czi
AR,251218,G1 R3,I:\Confocal\By Date\251218 Esg Dl\AR\G1 R3.czi
AR,251218,G1 R4,I:\Confocal\By Date\251218 Esg Dl\AR\G1 R4.czi
AR,251218,G1 R5,I:\Confocal\By Date\251218 Esg Dl\AR\G1 R5.czi
AR,251218,G2 R1,I:\Confocal\By Date\251218 Esg Dl\AR\G2 R1.czi
AR,251218,G2 R2,I:\Confocal\By Date\251218 Esg Dl\AR\G2 R2.czi
AR,251218,G2 R3,I:\Confocal\By Date\251218 Esg Dl\AR\G2 R3.czi
AR,251218,G2 R4,I:\Confocal\By Date\251218 Esg Dl\AR\G2 R4.czi
AR,251218,G2 R5,I:\Confocal\By Date\251218 Esg Dl\AR\G2 R5.czi
AR,251218,G3 R1,I:\Confocal\By Date\251218 Esg Dl\AR\G3 R1.czi
AR,251218,G3 R2,I:\Confocal\By Date\251218 Esg Dl\AR\G3 R2.czi
AR,251218,G3 R3,I:\Confocal\By Date\251218 Esg Dl\AR\G3 R3.czi
AR,251218,G3 R4,I:\Confocal\By Date\251218 Esg Dl\AR\G3 R4.czi
AR,251218,G3 R5,I:\Confocal\By Date\251218 Esg Dl\AR\G3 R5.czi
AR,251218,G4 R1,I:\Confocal\By Date\251218 Esg Dl\AR\G4 R1.czi
AR,251218,G4 R2,I:\Confocal\By Date\251218 Esg Dl\AR\G4 R2.czi
AR,251218,G4 R3,I:\Confocal\By Date\251218 Esg Dl\AR\G4 R3.czi
AR,251218,G4 R4,I:\Confocal\By Date\251218 Esg Dl\AR\G4 R4.czi
AR,251218,G4 R5,I:\Confocal\By Date\251218 Esg Dl\AR\G4 R5.czi
AR,251218,G5 R1,I:\Confocal\By Date\251218 Esg Dl\AR\G5 R1.czi
AR,251218,G5 R2,I:\Confocal\By Date\251218 Esg Dl\AR\G5 R2.czi
AR,251218,G5 R3,I:\Confocal\By Date\251218 Esg Dl\AR\G5 R3.czi
AR,251218,G5 R4,I:\Confocal\By Date\251218 Esg Dl\AR\G5 R4.czi
AR,251218,G5 R5,I:\Confocal\By Date\251218 Esg Dl\AR\G5 R5.czi
